Title,Company,Experience,Location,Description,Posted,Skills,Link
Senior LLM Engineer,Leading Client,7-12 Yrs,"Bengaluru, Mumbai, Delhi / NCR","Proficient in Python, Langchain, and SQL. . Understanding of LLM internals, including p...",13 Days Ago,"Machine Learning, Azure, MLOps, GCP, AWS, Artificial intelligence, Microsoft Azure, Intelligence",https://www.naukri.com/job-listings-senior-llm-engineer-carter-wellington-mumbai-delhi-ncr-bengaluru-7-to-12-years-150425915373
Urgently hiring For AI/ML Engineer (LLM/NLP) Manager/Sr. Manager role,Kaizenit Infotech,12-19 Yrs,"Bengaluru, Mumbai, Pune","1.For NLP: Gen AI, Machine Learning, Technical Role, 5+ years relevant experience in DS...",7 Days Ago,"Data Science, Large Language Model, Natural Language Processing, RAG, Machine Learning, GenAI, Artificial Intelligence, Data Scientist",https://www.naukri.com/job-listings-urgently-hiring-for-ai-ml-engineer-llm-nlp-manager-sr-manager-role-kaizenit-infotech-mumbai-pune-bengaluru-12-to-19-years-210425014450
LLM ServiceNow API Developer,client co,3-6 Yrs,Remote,"Minimum of 3-5 years of hands-on experience with ServiceNow, specifically in developing...",Just Now,"glidescript, Javascript, service now API, Servicenow, API, Development",https://www.naukri.com/job-listings-llm-servicenow-api-developer-excellent-opportunity-placements-bengaluru-3-to-6-years-280425026611
Machine Learning Engineer - LLM,Apple,3-10 Yrs,Bengaluru,". 3+ years experience in machine learning algorithms, software engineering, and data mi...",30+ Days Ago,"Supply chain, Operations research, orchestration, Artificial Intelligence, Machine learning, Hardware, Data mining, Apache",https://www.naukri.com/job-listings-machine-learning-engineer-llm-apple-india-pvt-ltd-bengaluru-3-to-10-years-120325500644
Machine Learning Engineer - Computer Vision & LLM,Apple,2-5 Yrs,Bengaluru,"Familiarity with LLM architectures like BERT, GPT, and experience fine-tuning these mod...",30+ Days Ago,"Computer science, Product quality, Computer vision, Version control, GIT, Image processing, Machine learning, Workflow",https://www.naukri.com/job-listings-machine-learning-engineer-computer-vision-llm-apple-india-pvt-ltd-bengaluru-2-to-5-years-301224502223
Natural Language Processing (NLP)-AI Platform Engineer,Accenture,10-15 Yrs,Bengaluru,Must have skills :Natural Language Processing (NLP) Good to have skills :No Technology ...,Just Now,"chatbot, natural language processing, neural networks, machine learning, deep learning, c#, python, data analysis",https://www.naukri.com/job-listings-natural-language-processing-nlp-ai-platform-engineer-accenture-solutions-pvt-ltd-bengaluru-10-to-15-years-280425926963
Senior Machine Learning Engineer NLP/LLM,Avalara India,4-8 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Bachelors / Masters degree in computer science with 5+ years of industry experience in ...,Just Now,", python, software development, microsoft azure, debugging, machine learning algorithms, cloud computing, machine learning",https://www.naukri.com/job-listings-senior-machine-learning-engineer-nlp-llm-avalara-india-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-8-years-280425504195
Principal Data Scientist / Senior Data Scientist/ Data Scientist - NLP,Benovymed Healthcare Private Limited,0-5 Yrs,Bengaluru,Job Position :Principal Data Scientist / Sr Data Scientists /Data Scientist / Jr. Data ...,4 Days Ago,"Data Science, Tensorflow, NLP, Data Scientist, Artificial Intelligence, Data Modeling, Machine Learning, Numpy",https://www.naukri.com/job-listings-principal-data-scientist-senior-data-scientist-data-scientist-nlp-benovymed-healthcare-private-limited-bengaluru-0-to-5-years-240425920814
Data Scientist (ML/NLP Developer),DIGITAP.AI,1-2 Yrs,Bengaluru,"BE, BTech, MTech, ME, MCA (minimum 4 years of degree). Experience: 1-2 Years. .",3 Days Ago,"deep learning, Computer vision, Risk analytics, big data analytics, Risk assessment, Machine learning, Natural language processing, Research",https://www.naukri.com/job-listings-data-scientist-ml-nlp-developer-digitap-bengaluru-1-to-2-years-250425500403
Looking For Senior Data Scientist || GEN AI | LLM | NLP,Birdeye,5-9 Yrs,"Hybrid - Bengaluru, Hyderabad, Gurugram","Integrate models into real-time and batch data systems, optimizing for latency, through...",3 Days Ago,"Generative AI, Nltk, Enterprise AI, Bert, Spacy, Artificial Intelligence, Natural Language Processing, AI Solution",https://www.naukri.com/job-listings-looking-for-senior-data-scientist-gen-ai-llm-nlp-birdeye-hyderabad-gurugram-bengaluru-5-to-9-years-250125010997
