Title,Company,Experience,Location,Description,Posted,Skills,Link
Data Scientist | New Scienaptic AI,Scienaptic Systems,2-7 Yrs,Bengaluru,Prior experience of working with at least one of the 3 major US credit bureaus. Strong ...,Few Hours Ago,"Business process, Loans, Business analytics, Analytical, XML, Finance, Credit underwriting, Credit risk management",https://www.naukri.com/job-listings-data-scientist-new-scienaptic-ai-scienaptic-systems-bengaluru-2-to-7-years-280425500263
Data Scientist,Visa,3-7 Yrs,Bengaluru,"Bachelors or Masters degree in Statistics, Operations Research, Applied Mathematics, Ec...",Just Now,"excel, hive, , tableau, r, spark, powerpoint, sql",https://www.naukri.com/job-listings-data-scientist-visa-inc-bengaluru-3-to-7-years-280425505762
Commercial Data Scientist,Exxon Mobil Corporation,4-9 Yrs,Bengaluru,"Bachelors, Masters, or PhD degree from a recognized university in Data Science, Compute...",Just Now,", r, tableau, scikit-learn, keras, numpy, analysis, communication skills",https://www.naukri.com/job-listings-commercial-data-scientist-exxon-mobil-corporation-bengaluru-4-to-9-years-280425505296
Physical Data Scientist,Exxon Mobil Corporation,3-9 Yrs,Bengaluru,"About Us At ExxonMobil, our vision is to lead in energy innovations that advance modern...",Just Now,"matlab, data bricks, , python, modeling, agile, azure cloud, reporting",https://www.naukri.com/job-listings-physical-data-scientist-exxon-mobil-corporation-bengaluru-3-to-9-years-280425504388
Data Scientist,Vistaar Finance,2-7 Yrs,Bengaluru,Experience with AWS cloud platformExperience: . 2-3 years of relevant experience,2 Days Ago,"Python, Data Integrity, Data Preprocessing, Power Bi, Data Mining, Data Extraction, Data Collection, Tableau",https://www.naukri.com/job-listings-data-scientist-vistaar-finance-bengaluru-2-to-7-years-260425007783
Data Scientist - L3,Wipro,3-5 Yrs,Bengaluru,Collaborate with different colleges and institutes for research initiatives and provide...,3 Days Ago,"machine learning, data engineering, deep learning, data science, ml, python, natural language processing, scikit-learn",https://www.naukri.com/job-listings-data-scientist-l3-wipro-limited-bengaluru-3-to-5-years-250425917045
Data Scientist - L3,Wipro,5-7 Yrs,Bengaluru,Collaborate with different colleges and institutes for research initiatives and provide...,3 Days Ago,"team management, machine learning, deep learning, data science, ml, python, natural language processing, scikit-learn",https://www.naukri.com/job-listings-data-scientist-l3-wipro-limited-bengaluru-5-to-7-years-250425916987
Data Scientist - L3,Wipro,5-7 Yrs,Bengaluru,Collaborate with different colleges and institutes for research initiatives and provide...,3 Days Ago,"algorithms, python, machine learning, deep learning, tensorflow, natural language processing, data validation, ml deployment",https://www.naukri.com/job-listings-data-scientist-l3-wipro-limited-bengaluru-5-to-7-years-250425916801
Advanced Data Scientist,Honeywell,4-9 Yrs,"Bengaluru, Greater Noida","Develop guidelines and standards for analytics and machine learning models, their deplo...",7 Days Ago,"Solution design, deep learning, Front end, data science, Machine learning, IFS, Programming, Unit testing",https://www.naukri.com/job-listings-advanced-data-scientist-honeywell-greater-noida-bengaluru-4-to-9-years-210425500861
Data Scientist,Sun Life Global Solutions,5-10 Yrs,"Hybrid - Bengaluru, Gurugram",Should be able to understand and gather the requirement from StakeholdersProficiency in...,6 Days Ago,"Data Science, LLMs, Data Scientist, Azure ML Studio, Machine Learning Algorithms, Azure Machine Learning, Machine Learning, Deep Learning",https://www.naukri.com/job-listings-data-scientist-sun-life-global-solutions-gurugram-bengaluru-5-to-10-years-131124010229
Data Scientist,Global Banking Organization,4-7 Yrs,Remote,"Experience in AI projects, including familiarity with AI and machine learning framework...",4 Days Ago,"NLP, AI Artificial intelligence, Computer Vision, Machine Learning, Python, Natural language processing, Intelligence, Vision",https://www.naukri.com/job-listings-data-scientist-careernet-bengaluru-4-to-7-years-240425012573
