title,company,link,keyword
Vibe Testing,kim.cc,https://in.linkedin.com/jobs/view/vibe-testing-at-kim-cc-4215888533?position=23&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=L1xTJJFQiUEX2ZGME0BD8A%3D%3D,LLM
Head of Legal - Collections,WeRize,https://in.linkedin.com/jobs/view/head-of-legal-collections-at-werize-4215895259?position=24&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=%2BFkWA%2B%2FTpwYVTiGKD95haw%3D%3D,LLM
AI Engineer - LLM Applications & Data Mining,Expertia AI,https://in.linkedin.com/jobs/view/ai-engineer-llm-applications-data-mining-at-expertia-ai-4215842320?position=25&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=7xHOlQQl17MRppm8eRhMag%3D%3D,LLM
Senior/Staff Applied GenAI Researcher – Enterprise Outcome Team,TrueFoundry,https://in.linkedin.com/jobs/view/senior-staff-applied-genai-researcher-%E2%80%93-enterprise-outcome-team-at-truefoundry-4218687333?position=26&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=uuhZ%2BFbFY8B3v%2FnjZpMwzA%3D%3D,LLM
"Mid Data Science & AIML, GenAI Lead/Engineer",NTT DATA North America,https://in.linkedin.com/jobs/view/mid-data-science-aiml-genai-lead-engineer-at-ntt-data-north-america-4206579267?position=27&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=TWgBhtwDFG1RqnIljLFdrA%3D%3D,LLM
"Mid Data Science & AIML, GenAI Lead/Engineer",NTT DATA North America,https://in.linkedin.com/jobs/view/mid-data-science-aiml-genai-lead-engineer-at-ntt-data-north-america-4206577407?position=28&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=zOwfiVopxb69%2FhlX%2FK4HnA%3D%3D,LLM
"Mid Data Science & AIML, GenAI Lead/Engineer",NTT DATA North America,https://in.linkedin.com/jobs/view/mid-data-science-aiml-genai-lead-engineer-at-ntt-data-north-america-4206577406?position=29&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=3aECeHXGGJlrVvRM%2F6adNg%3D%3D,LLM
Subject Matter Expert - Biology,Turing,https://in.linkedin.com/jobs/view/subject-matter-expert-biology-at-turing-4215904673?position=30&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=F7KQOZWuoK2%2FdbdkOVzZMQ%3D%3D,LLM
"Mid Data Science & AIML, GenAI Lead/Engineer",NTT DATA North America,https://in.linkedin.com/jobs/view/mid-data-science-aiml-genai-lead-engineer-at-ntt-data-north-america-4206574823?position=31&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=7giSTAWp%2FKTCLbq6CT7DTQ%3D%3D,LLM
Staff Software Architect,GE HealthCare,https://in.linkedin.com/jobs/view/staff-software-architect-at-ge-healthcare-4160789064?position=32&pageNum=0&refId=5pIJzT1UAhVo2jfoBFmT9g%3D%3D&trackingId=sLrvP%2BscnjoM6r66yE3J5A%3D%3D,LLM
